Date,ConfirmedCases
30/01/2020,1
31/01/2020,1
01/02/2020,1
02/02/2020,2
03/02/2020,3
04/02/2020,3
05/02/2020,3
06/02/2020,3
07/02/2020,3
08/02/2020,3
09/02/2020,3
10/02/2020,3
11/02/2020,3
12/02/2020,3
13/02/2020,3
14/02/2020,3
15/02/2020,3
16/02/2020,3
17/02/2020,3
18/02/2020,3
19/02/2020,3
20/02/2020,3
21/02/2020,3
22/02/2020,3
23/02/2020,3
24/02/2020,3
25/02/2020,3
26/02/2020,3
27/02/2020,3
28/02/2020,3
29/02/2020,3
01/03/2020,3
02/03/2020,5
03/03/2020,5
04/03/2020,28
05/03/2020,30
06/03/2020,31
07/03/2020,34
08/03/2020,39
09/03/2020,43
10/03/2020,56
11/03/2020,62
12/03/2020,73
13/03/2020,82
14/03/2020,102
15/03/2020,113
16/03/2020,119
17/03/2020,142
18/03/2020,156
19/03/2020,194
20/03/2020,244
21/03/2020,330
22/03/2020,396
23/03/2020,499
24/03/2020,536
25/03/2020,657
26/03/2020,727
27/03/2020,887
28/03/2020,987
29/03/2020,1024
30/03/2020,1251
31/03/2020,1397
01/04/2020,1998
02/04/2020,2543
03/04/2020,2567
04/04/2020,3082
05/04/2020,3588
06/04/2020,4778
07/04/2020,5311
08/04/2020,5916
09/04/2020,6725
10/04/2020,7598
11/04/2020,8446
12/04/2020,9205
13/04/2020,10453
14/04/2020,11487
15/04/2020,12322
16/04/2020,13430
17/04/2020,14352
18/04/2020,15722
19/04/2020,17615
20/04/2020,18539
21/04/2020,20080
22/04/2020,21370
23/04/2020,23077
24/04/2020,24530
25/04/2020,26283
26/04/2020,27890
27/04/2020,29451
28/04/2020,31324
29/04/2020,33062
30/04/2020,34863
01/05/2020,37257
02/05/2020,39699
03/05/2020,42505
04/05/2020,46437
05/05/2020,49400
06/05/2020,52987
07/05/2020,56351
08/05/2020,59695
09/05/2020,62808
10/05/2020,67161
11/05/2020,70768
12/05/2020,74292
13/05/2020,78055
14/05/2020,81997
15/05/2020,85784
16/05/2020,90648
17/05/2020,95698
18/05/2020,100328
19/05/2020,106475
20/05/2020,112028
21/05/2020,118226
22/05/2020,124794
23/05/2020,131423
24/05/2020,138536
25/05/2020,144950
26/05/2020,150793
27/05/2020,158086
28/05/2020,165386
29/05/2020,173491
30/05/2020,181827
31/05/2020,190609
01/06/2020,198370
02/06/2020,207191
03/06/2020,216824
04/06/2020,226713
05/06/2020,236184
06/06/2020,246622
07/06/2020,257486
08/06/2020,265928
09/06/2020,276146
10/06/2020,286605
11/06/2020,297535
12/06/2020,308993
13/06/2020,320922
14/06/2020,332424
15/06/2020,343091
16/06/2020,354065
17/06/2020,366946
18/06/2020,380532
19/06/2020,395048
20/06/2020,410451
21/06/2020,425282
22/06/2020,440215
23/06/2020,456183
24/06/2020,473105
25/06/2020,490401
26/06/2020,508953
27/06/2020,528859
28/06/2020,548318
29/06/2020,566840
30/06/2020,585481
01/07/2020,604641
02/07/2020,625544
03/07/2020,648315
04/07/2020,673165
05/07/2020,697413
06/07/2020,719664
07/07/2020,742417
08/07/2020,767296
09/07/2020,793802
10/07/2020,820916
11/07/2020,849522
12/07/2020,878254
13/07/2020,906752
14/07/2020,936181
15/07/2020,968857
16/07/2020,1003832
17/07/2020,1039084
18/07/2020,1077781
19/07/2020,1118206
20/07/2020,1155338
21/07/2020,1193078
22/07/2020,1238798
23/07/2020,1288108
24/07/2020,1337024
25/07/2020,1385635
26/07/2020,1435616
27/07/2020,1480073
28/07/2020,1531669
29/07/2020,1581963
30/07/2020,1634746
31/07/2020,1695988
01/08/2020,1750723
02/08/2020,1803695
03/08/2020,1855745
04/08/2020,1908254
05/08/2020,1964536
06/08/2020,2027074
07/08/2020,2088611
08/08/2020,2153010
09/08/2020,2215074
10/08/2020,2268675
11/08/2020,2329638
12/08/2020,2396637
13/08/2020,2461190
14/08/2020,2525922
15/08/2020,2589952
16/08/2020,2647663
17/08/2020,2702681
18/08/2020,2767253
19/08/2020,2836925
20/08/2020,2905825
21/08/2020,2975701
22/08/2020,3044940
23/08/2020,3106348
24/08/2020,3167323
25/08/2020,3224547
26/08/2020,3310234
27/08/2020,3387500
28/08/2020,3463972
29/08/2020,3542733
30/08/2020,3621245
31/08/2020,3691166
01/09/2020,3769523
02/09/2020,3853406
03/09/2020,3936747
04/09/2020,4023179
05/09/2020,4113811
06/09/2020,4204613
07/09/2020,4280422
08/09/2020,4370128
09/09/2020,4465863
10/09/2020,4562414
11/09/2020,4659984
12/09/2020,4754356
13/09/2020,4846427
14/09/2020,4930236
15/09/2020,5020359
16/09/2020,5118253
17/09/2020,5214677
18/09/2020,5308014
19/09/2020,5400619
20/09/2020,5487580
21/09/2020,5562663
22/09/2020,5646010
23/09/2020,5732518
24/09/2020,5818570
25/09/2020,5903932
26/09/2020,5992532
27/09/2020,6074702
28/09/2020,6145291
29/09/2020,6225763
30/09/2020,6312584
01/10/2020,6394068
02/10/2020,6473544
03/10/2020,6549373
04/10/2020,6623815
05/10/2020,6685082
06/10/2020,6757131
07/10/2020,6835655
08/10/2020,6906151
09/10/2020,6979423
10/10/2020,7053806
11/10/2020,7120538
12/10/2020,7175880
13/10/2020,7239389
